CustomerID,DateOfIncident,TypeOfIncident,TypeOfCollission,SeverityOfIncident,AuthoritiesContacted,IncidentState,IncidentCity,IncidentAddress,IncidentTime,NumberOfVehicles,PropertyDamage,BodilyInjuries,Witnesses,PoliceReport,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage
Cust10000,03-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State7,City1,Location 1311,17,3,?,1,0,?,65501,13417,6071,46013
Cust10001,02-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State7,City5,Location 1311,10,3,YES,2,1,YES,61382,15560,5919,39903
Cust10002,15-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,State8,City6,Location 2081,22,1,YES,2,3,NO,66755,11630,11630,43495
Cust10003,19-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,State9,City6,Location 2081,22,1,YES,2,3,NO,66243,12003,12003,42237
Cust10004,09-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State8,City6,Location 1695,10,1,NO,2,1,YES,53544,8829,7234,37481
Cust10005,07-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State7,City6,Location 1695,7,1,NO,1,2,?,53167,7818,8132,37217
Cust10006,30-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,State5,City4,Location 1440,20,1,?,0,2,NO,77453,6476,12822,58155
Cust10007,12-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,State5,City3,Location 1440,18,1,?,0,2,NO,60569,5738,7333,47498
Cust10009,06-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,State9,City2,Location 1521,3,3,YES,0,0,?,67876,6788,7504,53584
Cust1001,25-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,State7,City2,Location 1596,5,1,YES,1,2,YES,71610,6510,13020,52080
Cust10011,10-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State9,City5,Location 2002,14,1,NO,0,0,?,58293,9396,5433,43464
Cust10012,22-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,State7,City1,Location 1341,16,3,YES,1,0,YES,50631,10110,5055,35466
Cust10013,25-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,State7,City2,Location 1799,15,3,YES,1,0,YES,57120,10593,5297,41230
Cust10014,02-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,State5,City2,Location 2030,20,3,NO,1,0,?,48939,1079,5797,42063
Cust10016,28-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State7,City2,Location 1677,13,1,NO,1,0,YES,60854,6596,5461,48797
Cust10017,28-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State7,City2,Location 1677,12,1,?,1,0,YES,61697,6172,6167,49358
Cust10018,28-02-2015,Parked Car,?,Minor Damage,Police,State6,City1,Location 1963,7,1,YES,0,2,NO,5371,679,521,4171
Cust10019,28-02-2015,Parked Car,?,Minor Damage,Police,State6,City1,Location 1963,7,1,YES,0,2,YES,5408,689,524,4195
Cust10021,03-01-2015,Vehicle Theft,?,Trivial Damage,None,State4,City5,Location 1449,10,1,?,2,1,?,6190,619,1208,4363
Cust10022,29-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,State8,City4,Location 1580,13,1,?,1,1,YES,56357,6084,6084,44189
Cust10023,23-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,State8,City4,Location 1167,9,1,?,1,3,YES,61780,6276,6276,49228
Cust10024,28-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,State9,City4,Location 1261,13,3,YES,2,0,NO,80425,14902,14902,50621
Cust10025,25-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,State9,City4,Location 1793,14,4,?,1,1,?,79356,15170,15170,49016
Cust10026,26-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,State9,City2,Location 1112,19,2,YES,2,1,NO,55235,7844,6137,41254
Cust10027,30-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,State4,City2,Location 1112,22,3,YES,2,1,NO,52732,11434,5859,35439
Cust10028,27-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State8,City3,Location 2092,15,2,?,1,2,YES,49526,6184,7743,35599
Cust10029,28-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State8,City3,Location 1292,15,2,?,1,2,YES,48260,5676,7808,34776
Cust10030,16-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State7,City3,Location 1024,5,1,NO,1,3,?,70372,12413,8306,49653
Cust10031,17-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State7,City3,Location 1426,4,1,NO,0,3,?,68012,11758,9222,47032
Cust10032,04-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,State5,City4,Location 1359,17,4,YES,0,0,YES,62702,5392,10355,46955
Cust10034,07-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,State5,City2,Location 1228,13,3,?,1,0,YES,30412,5018,5822,19572
Cust10035,05-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,State5,City2,Location 1228,15,3,?,1,2,YES,47814,5765,10367,31682
Cust10037,17-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,State9,City1,Location 1990,7,1,?,1,0,NO,56154,5730,5730,44694
Cust1004,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Police,State3,City1,Location 2054,5,1,?,1,2,NO,63400,6340,6340,50720
Cust10040,11-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,State5,City7,Location 1076,14,3,?,2,0,?,56729,6746,6746,43237
Cust10041,13-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,State5,City7,Location 1025,11,3,?,2,0,?,59066,8220,8220,42626
Cust10042,10-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State7,City4,Location 1372,15,3,?,1,2,?,38267,297,4709,33261
Cust10043,12-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State7,City4,Location 1372,17,3,?,1,3,?,42869,3495,4485,34889
Cust10044,12-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,State7,City7,Location 1629,14,1,YES,2,3,?,97734,16366,15903,65465
Cust10046,06-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,State5,City2,Location 1060,15,1,NO,2,2,YES,78737,10717,13762,54258
Cust10047,07-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,State5,City2,Location 1060,14,1,NO,2,2,NO,66803,6547,11285,48971
Cust10049,10-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,State5,City4,Location 1189,11,1,YES,1,0,?,57041,8251,8251,40539
