"CustomerID","InsuredAge","InsuredZipCode","InsuredGender","InsuredEducationLevel","InsuredOccupation","InsuredHobbies","CapitalGains","CapitalLoss","Country"
"Cust10000",35,454776,"MALE","JD","armed-forces","movies",56700,-48500,"India"
"Cust10001",36,454776,"MALE","JD","tech-support","cross-fit",70600,-48500,"India"
"Cust10002",33,603260,"MALE","JD","armed-forces","polo",66400,-63700,"India"
"Cust10003",36,474848,"MALE","JD","armed-forces","polo",47900,-73400,"India"
"Cust10004",29,457942,"FEMALE","High School","exec-managerial","dancing",0,-41500,"India"
"Cust10005",28,457942,"FEMALE","High School","exec-managerial","dancing",0,-41500,"India"
"Cust10006",57,476456,"MALE","Masters","adm-clerical","sleeping",67400,0,"India"
"Cust10007",49,476456,"MALE","Masters","adm-clerical","sleeping",67400,0,"India"
"Cust10009",27,432896,"FEMALE","High School","handlers-cleaners","camping",56400,-32800,"India"
"Cust1001",48,466132,"MALE","MD","craft-repair","sleeping",53300,0,"India"
"Cust10011",41,455810,"FEMALE","MD","prof-specialty","golf",58100,-65600,"India"
"Cust10012",36,446544,"FEMALE","Associate","craft-repair","paintball",0,0,"India"
"Cust10013",36,446544,"FEMALE","Associate","craft-repair","base-jumping",0,0,"India"
"Cust10014",59,618845,"MALE","College","other-service","movies",30400,0,"India"
"Cust10016",44,462836,"FEMALE","PhD","priv-house-serv","yachting",0,0,"India"
"Cust10017",44,615383,"FEMALE","PhD","priv-house-serv","basketball",0,-53300,"India"
"Cust10018",33,608425,"MALE","High School","prof-specialty","polo",0,-29200,"India"
"Cust10019",33,608425,"MALE","MD","prof-specialty","polo",0,-29200,"India"
"Cust10021",40,603123,"FEMALE","Masters","exec-managerial","dancing",0,0,"India"
"Cust10022",44,450889,"FEMALE","Associate","adm-clerical","hiking",73000,-37900,"India"
"Cust10023",39,601425,"FEMALE","Associate","tech-support","hiking",38700,-37900,"India"
"Cust10024",42,611322,"MALE","High School","exec-managerial","polo",69400,-41000,"India"
"Cust10025",44,432781,"MALE","High School","exec-managerial","hiking",69400,0,"India"
"Cust10026",60,617699,"FEMALE","High School","protective-serv","bungie-jumping",0,0,"India"
"Cust10027",57,438180,"MALE","High School","protective-serv","exercise",0,-22400,"India"
"Cust10028",45,449793,"FEMALE","PhD","farming-fishing","board-games",0,0,"India"
"Cust10029",44,430380,"MALE","PhD","protective-serv","dancing",39000,0,"India"
"Cust10030",35,450730,"FEMALE","Masters","sales","exercise",37800,0,"India"
