"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
110122,328,2014-10-17,"State3","250/500",1000,1406.91,0,"husband","Cust1001"
110125,256,1990-05-25,"State1","250/500",2000,1415.74,6000000,"unmarried","Cust1004"
110126,228,2014-06-06,"State1","500/1000",1000,1583.91,6000000,"unmarried","Cust1005"
110127,256,2006-10-12,"State3","250/500",1000,1351.1,0,"unmarried","Cust1006"
110128,137,2000-06-04,"State2","250/500",1000,1333.35,0,"husband","Cust1007"
110130,27,1997-02-05,"State1","100/300",500,1442.99,0,"own-child","Cust1009"
110131,212,2011-07-25,"State1","100/300",500,1315.68,0,"wife","Cust1010"
110132,235,2002-05-26,"State3","100/300",500,1253.12,4000000,"other-relative","Cust1011"
110133,447,1999-05-29,"State3","100/300",2000,1137.16,0,"other-relative","Cust1012"
110134,60,1997-11-20,"State3","500/1000",500,1215.36,3000000,"wife","Cust1013"
110135,121,2012-10-26,"State3","100/300",1000,936.61,0,"wife","Cust1014"
110136,180,1998-12-28,"State3","250/500",2000,1301.13,0,"not-in-family","Cust1015"
110138,70,2005-06-08,"State3","500/1000",1000,1199.44,5000000,"own-child","Cust1017"
110139,140,2004-11-15,"State2","500/1000",500,708.64,6000000,"unmarried","Cust1018"
110142,460,2002-06-25,"State2","250/500",1000,1187.96,4000000,"own-child","Cust1021"
110143,217,2005-11-27,"State1","500/1000",2000,875.15,0,"own-child","Cust1022"
110144,370,1994-05-27,"State1","100/300",2000,972.18,0,"other-relative","Cust1023"
110145,413,1991-02-08,"State2","100/300",2000,1268.79,0,"own-child","Cust1024"
110146,237,1996-02-02,"State2","100/300",1000,883.31,0,"husband","Cust1025"
110147,8,2013-12-05,"State3","100/300",2000,1266.92,0,"own-child","Cust1026"
110148,257,1990-09-20,"State2","100/300",2000,1322.1,0,"own-child","Cust1027"
110149,202,2002-07-18,"State2","100/300",500,848.07,3000000,"not-in-family","Cust1028"
110152,64,2000-02-18,"State1","250/500",1000,954.16,0,"husband","Cust1031"
110154,155,2003-08-01,"State1","500/1000",1000,1088.34,0,"other-relative","Cust1033"
110155,114,1992-04-04,"State1","100/300",1000,1558.29,0,"wife","Cust1034"
110156,149,1991-01-13,"State1","500/1000",500,1415.68,0,"own-child","Cust1035"
110157,147,2010-08-08,"State3","100/300",1000,1334.15,6000000,"not-in-family","Cust1036"
110158,62,2003-03-09,"State1","100/300",1000,988.45,0,"unmarried","Cust1037"
110159,289,1993-02-03,"State1","500/1000",2000,1222.48,0,"unmarried","Cust1038"
110160,431,2002-11-25,"State2","500/1000",2000,1155.55,0,"unmarried","Cust1039"
110161,199,1997-07-27,"State2","250/500",500,1262.08,0,"wife","Cust1040"
110162,79,1995-05-08,"State1","100/300",500,1451.62,0,"not-in-family","Cust1041"
110163,116,2012-08-30,"State2","250/500",500,1737.66,0,"unmarried","Cust1042"
110164,37,2006-04-30,"State1","500/1000",500,1475.93,0,"husband","Cust1043"
110165,106,2003-04-13,"State3","250/500",500,538.17,0,"own-child","Cust1044"
110167,265,2006-08-21,"State1","250/500",1000,1454.43,0,"husband","Cust1046"
110168,163,1990-01-08,"State2","100/300",500,1240.47,0,"husband","Cust1047"
110169,355,1990-03-18,"State3","500/1000",2000,1273.7,4000000,"husband","Cust1048"
110170,175,2008-01-07,"State2","500/1000",1000,1123.87,8000000,"other-relative","Cust1049"
110171,192,1997-03-10,"State1","100/300",1000,1245.89,0,"wife","Cust1050"
110172,430,2004-01-10,"State3","250/500",2000,1326.62,7000000,"own-child","Cust1051"
110174,217,2002-06-02,"State2","100/300",1000,1530.52,0,"not-in-family","Cust1053"
