"CustomerID","VehicleAttribute","VehicleAttributeDetails"
"Cust20179","VehicleID","Vehicle8898"
"Cust21384","VehicleModel","Malibu"
"Cust33335","VehicleMake","Toyota"
"Cust27118","VehicleModel","Neon"
"Cust13038","VehicleID","Vehicle30212"
"Cust1801","VehicleID","Vehicle24096"
"Cust30237","VehicleModel","RAM"
"Cust21334","VehicleYOM","1996"
"Cust26634","VehicleYOM","1999"
"Cust20624","VehicleMake","Chevrolet"
"Cust14947","VehicleID","Vehicle15216"
"Cust21432","VehicleYOM","2002"
"Cust22845","VehicleYOM","2000"
"Cust9006","VehicleMake","Accura"
"Cust30659","VehicleYOM","2003"
"Cust18447","VehicleMake","Honda"
"Cust19144","VehicleID","Vehicle29018"
"Cust26846","VehicleID","Vehicle21867"
"Cust4801","VehicleYOM","1998"
"Cust18081","VehicleYOM","2013"
"Cust17021","VehicleMake","BMW"
"Cust30660","VehicleYOM","2002"
"Cust22099","VehicleID","Vehicle30877"
"Cust33560","VehicleYOM","2011"
"Cust17371","VehicleYOM","2001"
"Cust6021","VehicleMake","Saab"
"Cust4776","VehicleID","Vehicle5750"
"Cust23684","VehicleModel","Neon"
"Cust23837","VehicleID","Vehicle39046"
"Cust9789","VehicleMake","Suburu"
"Cust23287","VehicleMake","Audi"
"Cust35566","VehicleYOM","1998"
"Cust27932","VehicleID","Vehicle38427"
"Cust35737","VehicleModel","Wrangler"
"Cust28068","VehicleModel","Jetta"
"Cust38076","VehicleID","Vehicle18099"
"Cust38479","VehicleMake","Audi"
"Cust13465","VehicleID","Vehicle14662"
"Cust37743","VehicleYOM","1997"
"Cust38875","VehicleYOM","2010"
"Cust8720","VehicleID","Vehicle24477"
"Cust22485","VehicleID","Vehicle35945"
"Cust17938","VehicleMake","Toyota"
"Cust30085","VehicleModel","Pathfinder"
"Cust5712","VehicleYOM","2001"
"Cust9597","VehicleMake","Chevrolet"
"Cust19578","VehicleMake","Chevrolet"
"Cust37745","VehicleMake","Dodge"
"Cust37493","VehicleMake","Accura"
"Cust18858","VehicleID","Vehicle23960"
"Cust20216","VehicleMake","Toyota"
"Cust6759","VehicleYOM","2013"
"Cust22452","VehicleModel","95"
"Cust1224","VehicleMake","Mercedes"
"Cust7485","VehicleModel","92x"
"Cust27812","VehicleID","Vehicle3532"
"Cust17203","VehicleID","Vehicle39248"
"Cust29761","VehicleYOM","2004"
"Cust19605","VehicleMake","Dodge"
"Cust36087","VehicleMake","Accura"
"Cust24978","VehicleMake","Accura"
"Cust10298","VehicleModel","A3"
"Cust37850","VehicleModel","Wrangler"
"Cust4375","VehicleModel","Silverado"
"Cust30743","VehicleModel","Civic"
"Cust32555","VehicleModel","Neon"
"Cust33779","VehicleYOM","2005"
"Cust23452","VehicleID","Vehicle14469"
"Cust8699","VehicleMake","Audi"
"Cust32191","VehicleID","Vehicle1771"
"Cust5133","VehicleYOM","2013"
"Cust3402","VehicleID","Vehicle36042"
"Cust21459","VehicleYOM","2012"
"Cust29908","VehicleModel","Tahoe"
"Cust18901","VehicleID","Vehicle13198"
"Cust8222","VehicleModel","E400"
"Cust19293","VehicleYOM","1998"
"Cust28191","VehicleID","Vehicle30758"
"Cust10642","VehicleModel","Fusion"
"Cust11893","VehicleYOM","2013"
"Cust8021","VehicleYOM","2007"
"Cust38385","VehicleYOM","2000"
"Cust32545","VehicleMake","Accura"
"Cust26735","VehicleID","Vehicle20258"
"Cust33794","VehicleModel","Corolla"
"Cust7548","VehicleModel","Highlander"
"Cust37516","VehicleYOM","2004"
"Cust2969","VehicleModel","Highlander"
"Cust34412","VehicleMake","Dodge"
"Cust1140","VehicleID","Vehicle14902"
"Cust8623","VehicleMake","Dodge"
"Cust9238","VehicleYOM","2000"
"Cust1009","VehicleID","Vehicle30643"
"Cust9868","VehicleYOM","2001"
"Cust24558","VehicleModel","A5"
"Cust26199","VehicleYOM","2004"
"Cust19333","VehicleID","Vehicle27721"
"Cust15848","VehicleID","Vehicle4575"
"Cust34815","VehicleYOM","2001"
"Cust35427","VehicleModel","Grand Cherokee"
"Cust16049","VehicleMake","Saab"
"Cust7295","VehicleModel","ML350"
"Cust2680","VehicleMake","Dodge"
"Cust32104","VehicleModel","Escape"
"Cust7122","VehicleID","Vehicle3840"
"Cust24319","VehicleMake","Volkswagen"
"Cust13437","VehicleMake","Honda"
"Cust5112","VehicleYOM","2005"
"Cust1727","VehicleMake","Chevrolet"
"Cust10159","VehicleID","Vehicle4294"
"Cust19950","VehicleModel","93"
"Cust5018","VehicleModel","Civic"
"Cust13749","VehicleID","Vehicle27327"
"Cust5346","VehicleModel","Pathfinder"
"Cust9305","VehicleYOM","2003"
"Cust31153","VehicleMake","Volkswagen"
"Cust28717","VehicleYOM","2001"
"Cust32122","VehicleYOM","1999"
"Cust21222","VehicleYOM","2009"
"Cust28836","VehicleMake","Nissan"
"Cust13947","VehicleYOM","2010"
"Cust19292","VehicleModel","Impreza"
"Cust16471","VehicleID","Vehicle14417"
"Cust8794","VehicleMake","Chevrolet"
"Cust30431","VehicleModel","Jetta"
"Cust37944","VehicleYOM","2004"
"Cust9714","VehicleMake","Jeep"
"Cust30078","VehicleMake","Suburu"
"Cust5898","VehicleYOM","2011"
"Cust34720","VehicleYOM","2004"
"Cust13878","VehicleMake","Suburu"
"Cust3545","VehicleModel","Accord"
"Cust29429","VehicleModel","F150"
"Cust1359","VehicleModel","Grand Cherokee"
"Cust8032","VehicleID","Vehicle26901"
"Cust29195","VehicleID","Vehicle34715"
"Cust17739","VehicleMake","Jeep"
"Cust33177","VehicleModel","C300"
"Cust13261","VehicleModel","Escape"
"Cust29255","VehicleModel","Malibu"
"Cust38074","VehicleID","Vehicle38097"
"Cust20892","VehicleModel","E400"
"Cust12603","VehicleModel","Camry"
"Cust34499","VehicleModel","Escape"
"Cust12087","VehicleMake","BMW"
"Cust38588","VehicleModel","RSX"
"Cust8626","VehicleID","Vehicle4194"
"Cust24170","VehicleID","Vehicle38160"
"Cust38229","VehicleID","Vehicle14631"
"Cust12619","VehicleModel","93"
"Cust32737","VehicleMake","Toyota"
"Cust38195","VehicleID","Vehicle38144"
"Cust30773","VehicleModel","Tahoe"
"Cust34650","VehicleMake","Nissan"
"Cust16049","VehicleModel","Wrangler"
"Cust13877","VehicleModel","Neon"
"Cust12321","VehicleYOM","2004"
"Cust21037","VehicleID","Vehicle21205"
"Cust15466","VehicleYOM","1998"
"Cust20468","VehicleMake","Accura"
"Cust27953","VehicleYOM","2014"
"Cust33714","VehicleID","Vehicle3699"
"Cust35003","VehicleID","Vehicle16663"
"Cust31838","VehicleID","Vehicle29387"
"Cust21431","VehicleMake","Suburu"
"Cust22157","VehicleID","Vehicle36955"
"Cust5624","VehicleModel","A5"
"Cust6016","VehicleMake","BMW"
"Cust34475","VehicleMake","Toyota"
"Cust26085","VehicleID","Vehicle19500"
"Cust11161","VehicleModel","TL"
"Cust16026","VehicleModel","Passat"
"Cust1921","VehicleModel","MDX"
"Cust21481","VehicleMake","Dodge"
"Cust15257","VehicleID","Vehicle25140"
"Cust13298","VehicleID","Vehicle24410"
"Cust18559","VehicleID","Vehicle8508"
"Cust27660","VehicleMake","Audi"
"Cust10205","VehicleModel","3 Series"
"Cust24392","VehicleYOM","1999"
"Cust5195","VehicleMake","Saab"
"Cust27287","VehicleYOM","1995"
"Cust38378","VehicleModel","93"
"Cust38263","VehicleMake","Honda"
"Cust13801","VehicleID","Vehicle19914"
"Cust31030","VehicleYOM","1997"
"Cust11822","VehicleMake","Honda"
"Cust5887","VehicleModel","A3"
"Cust32369","VehicleYOM","2000"
"Cust21361","VehicleMake","Accura"
"Cust11613","VehicleYOM","2007"
"Cust15016","VehicleID","Vehicle4085"
"Cust25042","VehicleModel","Wrangler"
"Cust2015","VehicleMake","BMW"
"Cust6317","VehicleMake","Dodge"
"Cust35540","VehicleID","Vehicle5941"
"Cust17876","VehicleModel","Maxima"
"Cust12666","VehicleModel","Neon"
"Cust33175","VehicleModel","C300"
"Cust20508","VehicleID","Vehicle10135"
"Cust10389","VehicleMake","Saab"
"Cust35412","VehicleMake","BMW"
"Cust19969","VehicleID","Vehicle19453"
"Cust4249","VehicleYOM","2008"
"Cust16328","VehicleYOM","2003"
"Cust31637","VehicleYOM","2012"
"Cust36958","VehicleYOM","2007"
"Cust29523","VehicleModel","Fusion"
"Cust23099","VehicleMake","Chevrolet"
"Cust3538","VehicleModel","MDX"
"Cust21011","VehicleYOM","1997"
"Cust35763","VehicleMake","Jeep"
"Cust30503","VehicleID","Vehicle7218"
"Cust26282","VehicleID","Vehicle20579"
"Cust7089","VehicleYOM","1996"
"Cust24488","VehicleYOM","2005"
"Cust4195","VehicleMake","Suburu"
"Cust31851","VehicleMake","Accura"
"Cust11419","VehicleModel","Camry"
"Cust17919","VehicleID","Vehicle34028"
"Cust7709","VehicleMake","Mercedes"
"Cust27007","VehicleID","Vehicle24930"
"Cust21943","VehicleYOM","2008"
"Cust34509","VehicleYOM","2009"
"Cust11090","VehicleModel","MDX"
"Cust3161","VehicleModel","MDX"
"Cust10987","VehicleYOM","2001"
"Cust22662","VehicleID","Vehicle13584"
"Cust26073","VehicleModel","Impreza"
"Cust22422","VehicleID","Vehicle28045"
"Cust9095","VehicleYOM","2001"
"Cust29082","VehicleYOM","2005"
"Cust10756","VehicleYOM","1999"
"Cust19320","VehicleID","Vehicle5808"
"Cust33744","VehicleYOM","1997"
"Cust6567","VehicleModel","Forrestor"
"Cust30386","VehicleID","Vehicle11954"
"Cust10065","VehicleMake","Volkswagen"
"Cust17537","VehicleYOM","2005"
"Cust36186","VehicleModel","RSX"
"Cust7706","VehicleID","Vehicle12158"
"Cust5767","VehicleModel","Grand Cherokee"
"Cust9007","VehicleMake","Toyota"
"Cust10262","VehicleID","Vehicle6734"
"Cust31350","VehicleYOM","1995"
"Cust23896","VehicleID","Vehicle1961"
"Cust38963","VehicleYOM","2004"
"Cust8228","VehicleMake","Mercedes"
"Cust18919","VehicleID","Vehicle27439"
"Cust26198","VehicleYOM","2005"
"Cust30338","VehicleID","Vehicle13163"
"Cust30094","VehicleYOM","2007"
"Cust39120","VehicleModel","Forrestor"
"Cust9666","VehicleYOM","2008"
"Cust1865","VehicleModel","Camry"
"Cust6868","VehicleModel","92x"
"Cust13323","VehicleMake","Jeep"
"Cust39241","VehicleYOM","2014"
"Cust2102","VehicleMake","Toyota"
"Cust29298","VehicleMake","Saab"
"Cust30362","VehicleModel","RAM"
"Cust33651","VehicleMake","Accura"
"Cust33725","VehicleID","Vehicle22763"
"Cust30702","VehicleID","Vehicle39402"
"Cust13365","VehicleMake","Volkswagen"
"Cust11757","VehicleYOM","2011"
"Cust20911","VehicleMake","Jeep"
"Cust3399","VehicleYOM","2007"
"Cust9969","VehicleModel","RAM"
"Cust26601","VehicleMake","Chevrolet"
"Cust2872","VehicleID","Vehicle7968"
"Cust15702","VehicleMake","Saab"
"Cust6962","VehicleModel","M5"
"Cust35235","VehicleID","Vehicle20987"
"Cust32675","VehicleModel","Civic"
"Cust15193","VehicleYOM","2002"
"Cust20927","VehicleModel","MDX"
"Cust24224","VehicleModel","95"
"Cust24312","VehicleModel","Passat"
"Cust1307","VehicleID","Vehicle36367"
"Cust3948","VehicleID","Vehicle34045"
"Cust35367","VehicleID","Vehicle22971"
"Cust33579","VehicleYOM","1999"
"Cust8908","VehicleModel","X6"
"Cust33653","VehicleMake","Accura"
"Cust25248","VehicleModel","Passat"
"Cust38167","VehicleYOM","2013"
"Cust37405","VehicleYOM","2013"
"Cust2795","VehicleYOM","2010"
"Cust19833","VehicleModel","RAM"
"Cust38372","VehicleID","Vehicle22665"
