CustomerID,ReportedFraud
Cust20065,N
Cust37589,N
Cust24312,N
Cust5493,Y
Cust7704,Y
Cust11594,N
Cust2848,Y
Cust5852,N
Cust29295,N
Cust25977,N
Cust8328,N
Cust25861,N
Cust33706,Y
Cust30034,N
Cust13600,Y
Cust6129,Y
Cust18609,Y
Cust11471,N
Cust21471,Y
Cust8230,N
Cust5729,Y
Cust34233,N
Cust32404,N
Cust9756,N
Cust32934,Y
Cust34781,N
Cust29029,N
Cust3078,Y
Cust20112,N
Cust15145,Y
Cust8547,N
Cust6210,Y
Cust34153,N
Cust37816,N
Cust10860,N
Cust26707,N
Cust3652,Y
Cust17567,Y
Cust21125,N
Cust18099,Y
Cust14992,N
Cust24493,Y
Cust24464,N
Cust22894,Y
Cust1533,N
Cust14852,N
Cust18146,Y
Cust26288,N
Cust19297,N
Cust4484,N
Cust11602,N
Cust25456,N
Cust37923,N
Cust14260,Y
Cust29605,N
Cust17218,N
Cust14457,N
Cust36325,N
Cust5907,Y
Cust23085,N
Cust33241,N
Cust13314,N
Cust23417,N
Cust19587,Y
Cust38463,Y
Cust38302,N
Cust38382,N
Cust37751,N
Cust25366,N
Cust36357,N
Cust31981,N
Cust34809,N
Cust10022,N
Cust26603,N
Cust17689,N
Cust23267,N
Cust31403,N
Cust22288,Y
Cust13881,N
Cust18509,Y
Cust33331,N
Cust24586,N
Cust37526,N
Cust13592,N
Cust25187,N
Cust9336,Y
Cust5804,Y
Cust5551,Y
Cust16112,Y
Cust14563,N
Cust32803,Y
Cust21994,N
Cust3293,Y
Cust21185,N
Cust16552,N
Cust37310,N
Cust13268,N
Cust26295,N
Cust30944,N
Cust21618,N
Cust27055,N
Cust8149,N
Cust26855,N
Cust5685,Y
Cust6609,Y
Cust31245,N
Cust24333,N
Cust15133,N
Cust7406,Y
Cust20512,N
Cust12119,N
Cust7880,Y
Cust35145,N
Cust14965,N
Cust29166,N
Cust8120,Y
Cust30428,N
Cust24113,N
Cust32604,N
Cust21158,N
Cust20736,N
Cust17667,N
Cust2289,Y
Cust9269,Y
Cust1538,N
Cust13176,N
Cust1495,Y
Cust34068,N
Cust3160,Y
Cust5702,Y
Cust33473,N
Cust35707,N
Cust28175,N
Cust33012,N
Cust38660,N
Cust37420,N
Cust9087,N
Cust25324,N
Cust2087,Y
Cust24279,N
Cust10365,N
Cust16410,N
Cust39384,N
Cust1806,N
Cust18336,Y
Cust12674,N
Cust18567,Y
Cust35524,Y
Cust4000,Y
Cust27344,N
Cust23522,N
Cust18591,N
Cust13872,N
Cust23594,N
Cust29936,N
Cust1756,N
Cust25502,N
Cust17598,N
Cust27507,Y
Cust22334,Y
Cust32652,N
Cust23059,N
Cust22387,Y
Cust28598,N
Cust35799,N
Cust17705,N
Cust24382,N
Cust19258,N
Cust31950,N
Cust16405,N
Cust4602,Y
Cust36011,N
Cust33283,N
Cust31531,Y
Cust22968,N
Cust28458,N
Cust5019,Y
Cust30266,N
Cust39253,Y
Cust20884,N
Cust34671,N
Cust19231,N
Cust30701,N
Cust26763,N
Cust19230,N
Cust6486,Y
Cust6051,Y
Cust19548,N
Cust21196,N
Cust9257,Y
Cust3159,Y
Cust7404,Y
Cust26245,N
Cust24166,N
Cust32954,N
Cust15304,N
Cust29946,N
Cust18311,Y
Cust8357,N
Cust30936,N
Cust27930,N
Cust24015,N
Cust5209,Y
Cust22674,Y
Cust20033,N
Cust15940,N
Cust15993,N
Cust26779,N
Cust18805,Y
Cust17527,N
Cust11659,N
Cust34391,N
Cust22247,Y
Cust24231,N
Cust3857,Y
Cust6674,Y
Cust19831,N
Cust8290,N
Cust35346,N
Cust33883,N
Cust11839,N
Cust23751,N
Cust26626,N
Cust29492,N
Cust34293,N
Cust6544,Y
Cust31512,Y
Cust24904,N
Cust28858,N
Cust12034,N
Cust19074,N
Cust23815,Y
Cust16879,N
Cust38937,N
Cust15318,N
Cust37943,N
Cust29019,N
Cust33035,N
Cust15971,N
Cust32016,N
Cust20846,N
Cust35197,N
Cust23873,N
Cust8580,N
Cust8504,N
Cust35269,N
Cust18944,N
Cust17711,N
Cust3062,Y
Cust19301,N
Cust28464,N
Cust37301,N
Cust15842,N
Cust24059,N
Cust6899,Y
Cust5226,Y
Cust33435,N
Cust7831,Y
Cust27950,N
Cust30039,N
Cust2169,Y
Cust22071,Y
Cust10696,N
Cust27475,N
Cust4800,Y
Cust10219,N
Cust12504,N
Cust15706,N
Cust36769,N
Cust35546,N
Cust8649,N
Cust26209,N
Cust12584,N
Cust32543,N
Cust36356,Y
Cust14763,Y
Cust23778,N
Cust17816,N
Cust12013,N
Cust23753,N
Cust12256,N
Cust17847,N
Cust11898,N
Cust33282,N
Cust20342,N
Cust13499,N
Cust12498,N
Cust36196,N
Cust38360,Y
Cust9021,N
Cust13598,N
Cust1344,N
Cust37740,N
Cust37245,N
Cust10328,N
Cust37052,N
Cust35327,N
Cust3188,Y
Cust26698,N
Cust15439,N
Cust10285,N
Cust25709,N
Cust27091,N
Cust23525,Y
Cust26131,N
Cust34761,N
Cust1192,N
Cust22316,Y
Cust37867,N
Cust39009,N
Cust18252,Y
Cust22287,Y
Cust4217,Y
Cust4096,Y
Cust2027,Y
Cust15103,N
Cust34431,N
Cust13602,N
Cust11170,N
Cust9651,N
Cust11210,N
Cust21742,N
Cust6429,Y
Cust31417,N
Cust19933,N
Cust35599,N
Cust38938,N
Cust20903,N
Cust27089,N
Cust34194,N
Cust32253,N
Cust32339,N
Cust8815,N
Cust24387,N
Cust14142,N
Cust28247,Y
Cust17807,N
Cust26871,N
Cust22840,Y
Cust9018,N
Cust23468,N
Cust17950,Y
Cust31617,N
Cust14735,N
Cust8408,N
